Bus Name,Stop Order,Stop Name,latitude,longitude
Ashirbad Pahibahan,15,Shukrabad,23.7537064,90.3797806
Ashirbad Pahibahan,16,Dhanmondi 32,23.73802075,90.3859514
Ashirbad Pahibahan,17,Kalabagan,23.7487244,90.37919898
Ashirbad Pahibahan,18,City College,23.7396837,90.3828522
Ashirbad Pahibahan,19,New Market,23.73277515,90.3828117
Ashirbad Pahibahan,20,Nilkhet,23.7329358,90.3860855
Ashirbad Pahibahan,21,Azimpur,23.7252946,90.3834641
Ashulia Classic,1,Nobinagar,23.9123657,90.2605169
Ashulia Classic,2,Baipayl,23.9380015,90.270064
Ashulia Classic,3,Jamgora,23.5442237,90.344015
Ashulia Classic,4,Fantasy Kingdom,23.93427385,90.29148785
Ashulia Classic,5,Zirabo,23.90848403,90.29356844
Ashulia Classic,6,Ashulia Bazar,23.9052388,90.29300785
Ashulia Classic,7,Kamarpara,23.8906579,90.3849515
Ashulia Classic,8,Abdullahpur,23.5542881,90.473867
Ashulia Classic,9,House Building,23.8748268,90.4006897
Ashulia Classic,10,Azampur,23.8665496,90.4100105
Ashulia Classic,11,Rajlakshmi,23.8644797,90.4002124
Ashulia Classic,12,Jashimuddin (Uttara),23.8608721,90.4004138
Ashulia Classic,13,Airport,23.8602996,90.39876
Ashulia Classic,14,Khilkhet,23.8351324,90.43511207
Ashulia Classic,15,Kuril Bishwa Road,23.8212083,90.4195365
Ashulia Classic,16,Shewra,23.81799371,90.41360546
Ashulia Classic,17,MES,23.9161376,90.2607105
Ashulia Classic,18,Kakali,23.820295,90.3682928
Ashulia Classic,19,Banani,23.790321,90.4076959
Ashulia Classic,20,Chairman Bari,23.71096925,90.41095483
Ashulia Classic,21,Mohakhali,23.7799893,90.40832417
Ashulia Classic,22,Nabisco,23.7692591,90.4012227
Ashulia Classic,23,Sat rasta,23.75746115,90.39242949
Asmani,1,Dhour,23.890623,90.3685719
Asmani,2,Abdullahpur,23.5542881,90.473867
Asmani,3,House Building,23.8748268,90.4006897
Asmani,4,Azampur,23.8665496,90.4100105
Asmani,5,Rajlakshmi,23.8644797,90.4002124
Asmani,6,Jashimuddin (Uttara),23.8608721,90.4004138
Asmani,7,Airport,23.8602996,90.39876
Asmani,8,Khilkhet,23.8351324,90.43511207
Asmani,9,Kuril Bishwa Road,23.8212083,90.4195365
Asmani,10,Jamuna Future Park,23.8135723,90.42402377
Asmani,11,Bashundhara,23.8239025,90.4699552
Asmani,12,Nadda,23.809823,90.4220557
Asmani,13,Notun Bazar,23.7982944,90.4239709
Asmani,14,Bashtola,23.79440473,90.42251274
Asmani,15,Shahjadpur,23.7884856,90.4237741
Asmani,16,Uttar Badda,23.7857042,90.4256113
Asmani,17,Badda,23.77654245,90.44630117
Asmani,18,Madhya Badda,23.77654245,90.44630117
Asmani,19,Merul,23.7718576,90.4250807
Asmani,20,Rampura Bridge,23.76802955,90.42334025
Asmani,21,Banasree,23.7617123,90.4312774
Asmani,22,Demra Staff Quarter,23.7197292,90.4905289
Asmani,23,Tarabo,23.725525,90.5154069
Asmani,24,Madanpur,23.7076942,90.557245
ATCL,1,Mohammadpur Bus Stand,23.7569928,90.3617359
ATCL,2,Asad Gate,23.7601299,90.3727245
ATCL,3,Shukrabad,23.7537064,90.3797806
ATCL,4,Kalabagan City College,23.7487244,90.37919898
ATCL,5,Science Lab,23.7396929,90.3836057
ATCL,6,Katabon,23.7387417,90.3910003
ATCL,7,Bata Signal,23.7390795,90.3886771
ATCL,8,Shahbag,23.7401951,90.3901161
ATCL,9,Matsya Bhaban,23.73418399,90.40403594
ATCL,10,High Court,23.7305,90.4034
ATCL,11,Press Club,22.967864,89.8176179
ATCL,12,Paltan,23.7313082,90.4120882
ATCL,13,GPO,23.7289296,90.41140102
ATCL,14,Gulistan,23.7249037,90.4120785
ATCL,15,Arambagh Notre Dame College,23.73075509,90.42101188
Ayat,1,Mirpur National Zoo,23.8123422,90.34693977
Ayat,2,Sony Cinema Hall,23.8004874,90.3553934
Ayat,3,Mirpur 2,23.8063402,90.35702594
Ayat,4,Mirpur 10,23.8083649,90.3682614
Ayat,5,Kazipara,23.7992408,90.3719878
Ayat,6,Shewrapara,23.7909631,90.3755087
Ayat,7,Taltola,23.7512986,90.4244569
Ayat,8,Agargaon,23.7784275,90.3800503
